2021-06-17 13:06:24.4539||DEBUG|Theater.Grpc.Server.User.Program|Application Starting Up 
2021-06-17 13:06:26.2012||INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 
2021-06-17 13:06:26.2114||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. 
2021-06-17 13:06:26.2114||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development 
2021-06-17 13:06:26.2114||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\code\Theater.Api\Theater.Grpc.Server.User 
2021-06-17 13:09:04.7485|1|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 POST https://localhost:5001/Theater.Grpc.User.User/GetAllUsers application/grpc  
2021-06-17 13:09:04.7996|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'gRPC - /Theater.Grpc.User.User/GetAllUsers' 
2021-06-17 13:09:09.7407|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'gRPC - /Theater.Grpc.User.User/GetAllUsers' 
2021-06-17 13:09:09.7407|2|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished in 5000.77ms 200 application/grpc 
